15149;CFCLFR21XXX;CIT FCIER CMUNAL ALSACE LORRAINE BANQUE
15153;RAJIFRP1XXX;RAYMOND JAMES INTERNATIONAL
15160;MSEGFRP1XXX;FINANCIERE MEESCHAERT
15173;CCTEFRP1;CACEIS CORPORATE TRUST (CACEIS CT)
15178;SOGDPFT1XXX;SOGELEASE BDP
15208;CRMPFRP1XXX;CREDIT MUNICIPAL DE PARIS
15218;BIFAFR21XXX;BIBBY FACTOR FRANCE
15228;SOAIMQM1XXX;SOCIETE FINANCIERE ANTILLES GUYANE
15243;ISNTFRP1XXX;INSTINET EUROPE LIMITED
15250;SMBCFRPPXXX;SUMITOMO MITSUI BANKING CORP EUROPE LTD
15258;GOIRFRP1XXX;THE GOVERNOR AND CY OF THE BANK IRELAND
15273;GRERFRP1XXX;GROUPAMA EPARGNE SALARIALE
15278;CRAFFRP1XXX;CREALFI
15298;DISFFRPPXXX;RBC INVESTOR SERVICES BANK FRANCE SA
15338;DISSFR21XXX;DISPONIS
15348;CMARFR21XXX;CRC MARIT MUTUEL DE LA REGION NORD
15358;CMDMGPG1XXX;CRC MARIT MUT OUTRE MER
15373;ARFCFRP1XXX;ARKEON FINANCE
15378;KOFFFRP1XXX;KOMATSU FINANCIAL FRANCE
15380;COANFRP1XXX;CONSERVATEUR FINANCE
15389;CANUFRP1XXX;CAISSE NATIONALE DES AUTOROUTES
15408;FAMSFRPPXXX;BNP PARIBAS DEALING SERVICES
15409;SCFEFR21XXX;SOFIRIF COOP FNCIERE REGION ILE FRANCE
15428;KREDFRPPXXX;KBC BAIL IMMOBILIER FRANCE SAS
15429;CMUTFR21BCH;CAISSE AGRIC CREDIT MUTUEL
15448;CNFSFR21XXX;CNH FINANCIAL SERVICES
15449;CBCRFR21XXX;CAISSE DE BRETAGNE DE CIT MUT AGRICOLE
15488;PROJFRP1XXX;PROJEO
15489;CMCIFR2ALAV;CFCM MAINE ANJOU BASSE NORMANDIE
